Monitoring Station,Latitude,Longitude
"HB Colony, Vijayawada - APPCB",16.536107,80.594233
"Kanuru, Vijayawada - APPCB",16.486692,80.699436
"PWD Grounds, Vijayawada - APPCB",16.507014,80.627767
"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222
"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3
"IITG, Guwahati - PCBA",26.2028636,91.70046436
"LGBI Airport, Guwahati - PCBA",26.10887,91.589544
"Pan Bazaar, Guwahati - PCBA",26.1875,91.744194
"Railway Colony, Guwahati - PCBA",26.181742,91.78063
"Christianpatty, Nagaon - PCBA",26.349082,92.68449
"Bata Chowk, Nalbari - PCBA",26.446912,91.439057
"Tarapur, Silchar - PCBA",24.82827,92.79525
"Gurdeo Nagar, Aurangabad - BSPCB",24.75746, 84.366208
"Collectorate, Gaya - BSPCB",24.7955,84.9994
"Kareem Ganj, Gaya - BSPCB",24.792403,84.992416
"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348
"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813
"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.1209,85.3647
"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586
"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158
"IGSC Planetarium Complex, Patna - BSPCB",25.610369,85.132568
"Muradpur, Patna - BSPCB",25.619651,85.147382
"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666
"Samanpura, Patna - BSPCB",25.596727,85.085624
"Sector 22, Chandigarh - CPCC",30.735567,76.775714
"Sector-25, Chandigarh - CPCC",30.751462,76.762879
"Sector-53, Chandigarh - CPCC",30.719859,76.738637
"5/32 Bungalows, Bhilai - CECB",21.194815,81.31477
"Civic Center, Bhilai - Bhilai Steel Plant",21.185571,81.343175
"Hathkhoj, Bhilai - CECB",21.224231,81.40835
"Rampur, Korba - CECB",22.368195,82.746431
"Urja Nagar, Korba - CECB",22.348441,82.549611
"AIIMS, Raipur - CECB",21.258815,81.578979
"Chhattisgarh, Raipur , New ISBT Bhatagaon - CECB",21.219665,81.630094
"Krishak Nagar, Raipur - CECB",21.237755,81.705301
"Siltara Phase-II, Raipur - CECB",21.371751,81.664929
"Alipur, Delhi - DPCC",28.815329,77.15301
"Anand Vihar, Delhi - DPCC",28.647622,77.315809
"Ashok Vihar, Delhi - DPCC",28.695381, 77.181665
"Aya Nagar, Delhi - IMD", 28.4706914,77.1099364
"Bawana, Delhi - DPCC",28.7762,77.051074
"Burari Crossing, Delhi - IMD",28.7256504,77.2011573
"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737
"Chandni Chowk, Delhi - IITM",28.656756,77.227234
"DTU, Delhi - CPCB",28.7500499, 77.1112615
"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484
"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006
"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053
"IHBAS, Dilshad Garden, Delhi - CPCB", 28.6811736 , 77.3025234
"ITO, Delhi - CPCB",28.628624,77.24106
"Jahangirpuri, Delhi - DPCC",28.732820 ,77.170633
"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829
"Lodhi Road, Delhi - IITM",28.588333,77.221667
"Lodhi Road, Delhi - IMD",28.5918245,77.2273074
"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738
"Mandir Marg, Delhi - DPCC",28.636429,77.201067
"Mundka, Delhi - DPCC",28.684678,77.076574
"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413
"Najafgarh, Delhi - DPCC",28.570173, 76.933762
"Narela, Delhi - DPCC",28.822836 ,77.101981
"Nehru Nagar, Delhi - DPCC",28.56789,77.250515
"DU, Delhi - IMD",28.6573814,77.1585447
"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255
"Patparganj, Delhi - DPCC",28.623763 ,77.287209
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023
"Pusa, Delhi - DPCC",28.639652,77.146275
"Pusa, Delhi - IMD",28.63611,77.173332
"R K Puram, Delhi - DPCC",28.563262 ,77.186937
"Rohini, Delhi - DPCC", 28.732528,77.11992
"Shadipur, Delhi - CPCB",28.6514781,77.1473105
"Sirifort, Delhi - CPCB",28.5504249,77.2159377
"Sonia Vihar, Delhi - DPCC",28.710508 ,77.249485
"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156
"Vivek Vihar, Delhi - DPCC",28.672342,77.31526
"Wazirpur, Delhi - DPCC",28.699793,77.165453
"Chandkheda, Ahmedabad - IITM",23.107969,72.574648
"Gyaspur, Ahmedabad - IITM",22.977134,72.553024
"Maninagar, Ahmedabad - GPCB",23.002657,72.591912
"Raikhad, Ahmedabad - IITM",23.020509,72.579261
"Rakhial, Ahmedabad - IITM",23.016834,72.625775
"SAC ISRO Bopal, Ahmedabad - IITM",23.041137, 72.456691
"Ahmedabad, SAC ISRO Satellite,  - IITM",23.023389,72.515201
"Ahmedabad, SVPI Airport Hansol",23.076793,72.627874
"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",23.04307,72.562968
"Science Center, Surat - SMC",21.170046,72.795405
"New Industrial Town, Faridabad - HSPCB",28.39072,77.30059
"Sector 11, Faridabad - HSPCB",28.376058,77.315741
"Sector 30, Faridabad - HSPCB",28.4417,77.3217
"Sector- 16A, Faridabad - HSPCB",28.4088421,77.3099081
"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991
"Rajbagh, Srinagar - JKSPCB",34.066206,74.81982
"Sardar Patel Nagar, Dhanbad - JSPCB",23.80569,86.44268
"BTM Layout, Bengaluru - CPCB",12.9135218 ,77.5950804
"BWSSB Kadabesanahalli, Bengaluru - CPCB",12.9352049,77.6814488
"Bapuji Nagar, Bengaluru - KSPCB",12.951913, 77.539784
"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749
"Hebbal, Bengaluru - KSPCB",13.029152, 77.585901
"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901
"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908
"Jigani, Bengaluru - KSPCB",12.7816279,77.6299145
"Kasturi Nagar, Bengaluru - KSPCB",13.00387,77.664217
"Peenya, Bengaluru - CPCB",13.0270199,77.494094
"RVCE-Mailasandra, Bengaluru - KSPCB",12.921418,77.502466
"Sanegurava Halli, Bengaluru - KSPCB",12.990328,77.5431385
"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115
"Silk Board, Bengaluru - KSPCB",12.917348,77.622813
"Devaraj Urs Badavane, Davanagere - KSPCB",14.4758,75.9052
"Kariavattom, Thiruvananthapuram - Kerala PCB",8.5637,76.8865
"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879
"Idgah Hills, Bhopal - MPPCB",23.264759,77.381568
"Paryavaran Parisar, Bhopal - MPPCB",23.210494,77.425409
"T T Nagar, Bhopal - MPPCB",23.233584,77.400574
"Bhopal Chauraha, Dewas - MPPCB",22.9682591,76.064118
"City Center, Gwalior - MPPCB",26.203442,78.193251
"Deen Dayal Nagar, Gwalior - MPPCB",26.259242,78.216432
"Maharaj Bada, Gwalior - MPPCB",26.200388,78.147714
"Phool Bagh, Gwalior - Mondelez Ind. Food",26.210536,78.171
"Chhoti Gwaltoli, Indore - MPPCB",22.431,75.5213
"Govindh Bhavan Colony, Jabalpur - JMC",23.163174,79.973061
"Marhatal, Jabalpur - MPPCB",23.168606,79.932247
"Suhagi, Jabalpur - JMC",23.218135,79.95777
"Civil Lines, Sagar - MPPCB",23.838586,78.759431
"Deen Dayal Nagar, Sagar - MPPCB",23.8640158,78.80289321
"Mahakaleshwar Temple, Ujjain - MPPCB",23.182719,75.768218
"Ramdaspeth, Akola - MPCB",20.719516,77.000253
"Shivneri Colony, Amravati - MPCB",20.9402359,77.7895248
"Shri Shivaji Science College, Amaravati - MPCB",20.939198,77.765701
"MIDC Chilkalthana, Aurangabad - MPCB",19.87562,75.38731
"More Chowk Waluj, Aurangabad - MPCB",19.8389439,75.244448
"Rachnakar Colony, Aurangabad - MPCB",19.863756,75.321188
"Katrap, Badlapur - MPCB",19.16485,73.23409
"Chauhan Colony, Chandrapur - MPCB",19.9629,79.298714
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086
"Prabhat Colony, Jalgaon - MPCB",21.001264,75.565602
"Old MIDC, Jalna - MPCB",19.854616,75.905894
"Shivaji University, Kolhapur - MPCB",16.6870449,74.2505872
"Sinchan Bhavan, Kolhapur - MPCB",16.7143745,74.2426398
"Sawe Wadi, Latur - MPCB",18.39963,76.57452
"Bandra Kurla Complex, Mumbai - IITM",19.053536,72.84643
"Bandra Kurla Complex, Mumbai - MPCB",19.065931,72.862131
"Bandra, Mumbai - MPCB",19.0627,72.84614
"Borivali East, Mumbai - IITM",19.23241,72.86895
"Borivali East, Mumbai - MPCB",19.2243333,72.8658113
"Byculla, Mumbai - BMC",18.9767, 72.8380
"Chakala-Andheri East, Mumbai - IITM",19.11074,72.86084
"Chembur, Mumbai - MPCB",19.0364585,72.8954371
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.10078,72.87462
"Colaba, Mumbai - MPCB",18.91,72.82
"Deonar, Mumbai - IITM",19.04946,72.923
"Ghatkopar, Mumbai - BMC",19.083694,72.920967
"Kandivali East, Mumbai - MPCB",19.2058,72.8682
"Kandivali West, Mumbai - BMC",19.215859,72.831718
"Kherwadi_Bandra East, Mumbai - MPCB",19.0632143,72.8456324
"Khindipada-Bhandup West, Mumbai - IITM",19.1653323,72.922099
"Kurla, Mumbai - MPCB",19.0863 ,72.8888
"Malad West, Mumbai - IITM",19.19709,72.82204
"Mazgaon, Mumbai - IITM",18.96702, 72.84214
"Mindspace-Malad West, Mumbai - MPCB",19.1878657,72.8304069
"Mulund West, Mumbai - MPCB",19.175,72.9419
"Navy Nagar-Colaba, Mumbai - IITM",18.897756,72.81332
"Powai, Mumbai - MPCB",19.1375,72.915056
"Sewri, Mumbai - BMC",19.000084,72.85673
"Shivaji Nagar, Mumbai - BMC",19.060498,72.923356
"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993
"Sion, Mumbai - MPCB",19.047,72.8746
"Vasai West, Mumbai - MPCB",19.3832,72.8204
"Vile Parle West, Mumbai - MPCB",19.10861,72.83622
"Worli, Mumbai - MPCB",18.9936162,72.8128113
"Ambazari, Nagpur - MPCB",21.121801,79.04952
"Mahal, Nagpur - MPCB",21.14472,79.107595
"Opp GPO Civil Lines, Nagpur - MPCB",21.152875,79.0517531
"Ram Nagar, Nagpur - MPCB",21.143383,79.048912
"Hirawadi, Nashik - MPCB",20.021503,73.813844
"MIDC Ambad, Nashik - MPCB",19.95022,73.73148
"Pandav Nagari, Nashik - MPCB",19.9591346,73.7788008
"Airoli, Navi Mumbai - MPCB",19.1494,72.9986
"Kopripada-Vashi, Navi Mumbai - MPCB",19.090337,73.014232
"Mahape, Navi Mumbai - MPCB",19.1135051,73.008978
"Nerul, Navi Mumbai - MPCB",19.008751,73.01662
"Sanpada, Navi Mumbai - MPCB",19.0575752 ,73.0151367
"Sector-19A Nerul, Navi Mumbai - IITM",19.044,73.0325
"Sector-2E Kalamboli, Navi Mumbai - MPCB",19.02579,73.10297
"Tondare-Taloja, Navi Mumbai - MPCB",19.063,73.1209
"Alandi, Pune - IITM",18.675076,73.892743
"Bhosari, Pune - IITM",18.664282,73.763966
"Hadapsar, Pune - IITM",18.640051,73.848956
"Karve Road, Pune - MPCB",18.501793,73.927532
"Katraj Dairy, Pune - MPCB",18.5011743,73.8165527
"MIT-Kothrud, Pune - IITM",18.57304,73.927715
"Mhada Colony, Pune - IITM",18.45445,73.854155
"Revenue Colony-Shivajinagar, Pune - IITM",18.517754,73.8214883
"Savitribai Phule Pune University, Pune - MPCB",18.530085,73.849598
"Transport Nagar-Nigdi, Pune - IITM",18.547056,73.826908
"Vijay Nagar, Sangli - MPCB",16.5038,74.3623
"Dnyaneshwar Nagar, Solapur - MPCB",17.6336264,75.9132495
"Ratandeep Housing Society, Solapur - MPCB",17.65439,75.90649
"Solapur, Solapur - MPCB",17.6599188,75.9063906
"Kasarvadavali, Thane - MPCB",19.26777,72.97182
"Upvan Fort, Thane - MPCB",19.222279,72.957979
"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",19.235581,73.159121
"Bolinj, Virar - MPCB",19.445821,72.7988231
"PWD Juction, Kohima - NPCB",25.6635413,94.0989878
"Hakimapada, Angul - OSPCB",20.832874,85.104082
"Kalidaspur, Balasore - OSPCB",21.51161,86.89088
"Lingraj Mandir, Bhubaneswar - OSPCB",20.24079,85.836784
"Patia, Bhubaneswar - OSPCB",20.34652,85.8163
"CDA Area, Cuttack - OSPCB",20.48891,85.84768
"Fertilizer Township, Rourkela - OSPCB",22.18972222,84.86277778
"Raghunathpali, Rourkela - OSPCB",22.220833,84.809444
"Sector-2, Rourkela - OSPCB",22.245,84.88111111
"Golden Temple, Amritsar - PPCB",31.62,74.876512
"Civil Line, Jalandhar - PPCB",31.321907,75.578914
"Kalal Majra, Khanna - PPCB",30.736056,76.209694
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086
"Model Town, Patiala - PPCB",30.349388,76.366642
"Moti Doongri, Alwar - RSPCB",27.554793, 76.611536
"Adarsh Nagar, Jaipur - RSPCB",26.902909,75.836858
"Mansarovar Sector-12, Jaipur - RSPCB",26.843698,75.766894
"Police Commissionerate, Jaipur - RSPCB",26.9164092,75.7994901
"RIICO Sitapura, Jaipur - RSPCB",26.786682,75.827928
"Sector-2 Murlipura, Jaipur - RSPCB",26.960669,75.771817
"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943
"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853
"Digari Kalan, Jodhpur - RSPCB",26.29581,73.082283
"Jhalamand, Jodhpur - RSPCB",26.215415,73.070156
"Mandor, Jodhpur - RSPCB",26.358805,73.047444
"Samrat Ashok Udhyan, Jodhpur - RSPCB",26.253384,72.976571
"Dhanmandi, Kota - RSPCB",25.16409,75.858137
"Nayapura, Kota - RSPCB",25.196024,75.855668
"Shrinath Puram, Kota - RSPCB",25.14389,75.821256
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397
"Alandur Bus Depot, Chennai - CPCB",12.9099161,80.1076538
"Arumbakkam, Chennai - TNPCB",13.0664,80.2112
"Gandhi Nagar_Ennore, Chennai - TNPCB",13.218341,80.32027
"Kodungaiyur, Chennai - TNPCB",13.1278,80.2642
"Manali Village, Chennai - TNPCB",13.1662, 80.2584
"Manali, Chennai - CPCB",13.164544,80.26285
"Perungudi, Chennai - TNPCB",12.9533,80.2357
"Royapuram, Chennai - TNPCB",13.1036,80.2909
"Velachery Res. Area, Chennai - CPCB",13.0052189,80.2398125
"Meelavittan, Thoothukudi - TNPCB",8.816428 ,78.099039
"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528
"Central University, Hyderabad - TSPCB",17.460103,78.334361
"ECIL Kapra, Hyderabad - TSPCB",17.470431,78.566959
"ICRISAT Patancheru, Hyderabad - TSPCB",17.5184,78.278777
"IDA Pashamylaram, Hyderabad - TSPCB",17.5316895,78.218939
"IITH Kandi, Hyderabad - TSPCB",17.585705,78.126199
"Kokapet, Hyderabad - TSPCB",17.393559,78.339194
"Kompally Municipal Office, Hyderabad - TSPCB",17.544899,78.486949
"Nacharam_TSIIC IALA, Hyderabad - TSPCB",17.429398,78.569354
"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864
"Ramachandrapuram, Hyderabad - TSPCB",17.528544,78.286195
"Sanathnagar, Hyderabad - TSPCB",17.4559458,78.4332152
"Somajiguda, Hyderabad - TSPCB",17.417094,78.457437
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437
"Manoharpur, Agra - UPPCB",27.23711,78.01936
"Rohta, Agra - UPPCB",27.106972,78.000111
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056
"Sector-3B Avas Vikas Colony, Agra - UPPCB",27.19412,77.96237
"Shahjahan Garden, Agra - UPPCB",27.169338,78.03582
"Shastripuram, Agra - UPPCB",27.19862,77.92066
"Civil Lines, Bareilly - UPPCB",28.359581,79.414455
"Rajendra Nagar, Bareilly - UPPCB",28.38910936,79.42963708
"Indirapuram, Ghaziabad - UPPCB",28.646233,77.358075
"Loni, Ghaziabad - UPPCB",28.757294,77.278792
"Sanjay Nagar, Ghaziabad - UPPCB",28.685382,77.453839
"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",26.730136,83.433859
"Shivaji Nagar, Jhansi - UPPCB",25.4547,78.6039
"FTI Kidwai Nagar, Kanpur - UPPCB",26.428282,80.327067
"IITK, Kanpur - IITK",26.511739,80.235136
"NSI Kalyanpur, Kanpur - UPPCB",26.509954,80.249612
"Nehru Nagar, Kanpur - UPPCB",26.4703136,80.3229863
"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299
"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119
"Kendriya Vidyalaya, Lucknow - CPCB",26.906111,80.948222
"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579
"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541
"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361
"Ganga Nagar, Meerut - UPPCB",28.999264,77.7590354
"Jai Bhim Nagar, Meerut - UPPCB",28.9535882,77.7622941
"Pallavpuram Phase 2, Meerut - UPPCB",29.06351,77.709723
"Buddhi Vihar, Moradabad - UPPCB",28.83526,78.7446
"Eco Herbal Park, Moradabad - UPPCB",28.840739,78.697531
"Employment Office, Moradabad - UPPCB",28.88528,78.7388
"Jigar Colony, Moradabad - UPPCB",28.856664,78.772638
"Kashiram Nagar, Moradabad - UPPCB",28.849399,78.742362
"Lajpat Nagar, Moradabad - UPPCB",28.825341,78.7213009
"Transport Nagar, Moradabad - UPPCB",28.802625,78.753728
"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074
"Bhelupur, Varanasi - UPPCB",25.301778,82.996789
"IESD Banaras Hindu University, Varanasi - UPPCB",25.262326,82.995408
"Maldahiya, Varanasi - UPPCB",25.32393,82.99687
"Doon University, Dehradun - UKPCB",30.269444,78.044167
"Govt. Girls Inter College, Kashipur - UKPCB",29.2124114,78.9611753
"Shivaji Nagar, Rishikesh - UKPCB",30.075911,78.2859547
"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968
"SVSPA Campus, Barrackpore - WBPCB",22.7605581,88.3617589
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.5404352,87.2892225
"Priyambada Housing Estate, Haldia - WBPCB",22.06047,88.109737
"Belur Math, Howrah - WBPCB",22.629801,88.352017
"Ghusuri, Howrah - WBPCB",22.611968,88.347422
"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276
"Ballygunge, Kolkata - WBPCB",22.5367507,88.3638022
"Bidhannagar, Kolkata - WBPCB",22.58157048,88.41002457
"Fort William, Kolkata - WBPCB",22.55664,88.342674
"Jadavpur, Kolkata - WBPCB",22.49929,88.36917
"Rabindra Bharati University, Kolkata - WBPCB",22.627847,88.380669
"Rabindra Sarobar, Kolkata - WBPCB",22.51106,88.35142
"Victoria, Kolkata - WBPCB",22.5448082,88.3403691
